device_id,discarded_fix_ts,rank_in_burst,reason
LA1,2008-10-28 00:15:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 00:30:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 08:45:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 09:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 09:15:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 09:30:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 09:45:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 10:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 10:15:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 11:30:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 11:45:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 13:45:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 16:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 17:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-28 19:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 01:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 09:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 11:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 11:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 12:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 12:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 12:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 13:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 13:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 14:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 15:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 15:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 15:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 17:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 17:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 17:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-29 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 07:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 10:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 11:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 11:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 14:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 14:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 15:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 17:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 17:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 19:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 21:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 21:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 22:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 22:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 23:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-30 23:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 00:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 00:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 01:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 01:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 02:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 02:20:55,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 03:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 03:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 04:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 04:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 04:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 05:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 05:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 05:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 06:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 14:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 15:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 15:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 15:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 16:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 17:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 17:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 19:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 19:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 20:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 20:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 20:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 21:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 21:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 21:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 22:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 22:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-10-31 23:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 00:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 11:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 13:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 13:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 14:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 14:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 18:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 21:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 21:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 22:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-13 23:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 04:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 05:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 06:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 07:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 07:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 09:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 10:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 10:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 11:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 12:20:49,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 14:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 15:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 16:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 16:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 17:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 18:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 18:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 18:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 19:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 19:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 19:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 20:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 21:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-14 22:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 04:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 05:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 05:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 05:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 06:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 06:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 07:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 07:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 07:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 08:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 08:20:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 08:40:48,1,"first fix of burst, implied speed > 8.0 m/s"
LA1,2008-11-15 09:00:48,1,"first fix of burst, implied speed > 8.0 m/s"
